"SP1" "SP2" "SP3" "SP4" "SP5" "SP6" "SP7" "SP8" "SP9" "SP10" "SP11" "SP12" "SP13" "SP14" "SP15" "SP16" "SP17" "SP18" "SP19" "SP20" "SP21" "SP22" "SP23" "SP24" "SR" "logSR" "EF"
1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 24 3.17805383034795 -0.144035826473043
1 1 1 0 1 1 1 0 0 0 1 0 0 1 1 1 0 0 0 1 0 0 0 1 12 2.484906649788 -1.32803241662094
0 0 0 1 0 0 0 1 1 1 0 1 1 0 0 0 1 1 1 0 1 1 1 0 12 2.484906649788 0.407836683612715
0 1 0 1 1 0 0 1 0 0 0 0 0 0 1 0 0 1 0 0 0 0 1 1 8 2.07944154167984 -1.70742586013168
1 0 1 0 0 1 0 0 1 0 0 0 1 0 0 0 1 0 1 0 1 0 0 0 8 2.07944154167984 1.91060567491511
0 0 0 0 0 0 1 0 0 1 1 1 0 1 0 1 0 0 0 1 0 1 0 0 8 2.07944154167984 0.176573981273564
0 1 1 0 0 1 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 6 1.79175946922805 0.114275251698367
0 0 0 1 1 0 0 0 0 0 0 1 0 0 0 1 1 0 0 0 1 0 0 0 6 1.79175946922805 0.690801980219844
0 0 0 0 0 0 1 1 0 1 0 0 0 0 0 0 0 1 0 1 0 0 1 0 6 1.79175946922805 -0.0258573105152446
1 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 1 0 0 1 0 1 6 1.79175946922805 0.19664082370728
0 1 1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 4 1.38629436111989 0.450682742055512
0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 1 0 4 1.38629436111989 -0.457682750048199
1 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 4 1.38629436111989 -1.02052172447317
0 0 0 0 0 0 0 1 1 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 4 1.38629436111989 -2.33545721631976
0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 1 0 0 0 0 1 0 0 4 1.38629436111989 -0.186772474751197
0 0 0 1 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 4 1.38629436111989 1.49362485990726
0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 3 1.09861228866811 2.82274681656609
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 1 0 3 1.09861228866811 -0.625571608339918
0 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 3 1.09861228866811 -0.0982893646238011
0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 1 3 1.09861228866811 -0.309779613822382
0 0 1 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 1.09861228866811 0.310429945878481
1 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 3 1.09861228866811 0.152550003747993
0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 1 0 0 0 0 0 0 0 0 3 1.09861228866811 1.11068561470635
0 1 0 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 3 1.09861228866811 0.120659240500044
0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 2 0.693147180559945 -0.0917676313876139
0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0.693147180559945 -0.953728894404164
0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0.693147180559945 -1.38647705773384
0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 2 0.693147180559945 -1.40126639324142
0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 2 0.693147180559945 -0.498324547948114
0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 2 0.693147180559945 -0.113950340690978
0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 2 0.693147180559945 1.76649527771416
0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 2 0.693147180559945 1.19341665922312
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 2 0.693147180559945 0.17395878513821
0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 2 0.693147180559945 1.39036205858177
0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 2 0.693147180559945 1.19244856472915
1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0.693147180559945 0.29132121089099
0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 1 0 0.800574982288998
0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0.667178296147067
0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0.808132607482884
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0.819197195066133
0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0.691679210431397
0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 2.23596925676592
0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1.22007346806028
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 0 1.68279557455692
0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 -0.0748960621628351
